1007	1
494	6
30	0
294	3
1642	5
1504	5
1024	0
1222	5
831	1
204	0
622	3
1946	6
775	1
472	3
1499	3
875	3
2128	6
1759	1
1267	3
307	3
411	3
196	1
684	1
2216	1
75	3
2217	1
446	1
364	1
147	1
2120	1
1616	5
2001	5
1213	1
1525	1
1783	1
166	3
1171	0
1743	6
1322	1
1564	1
243	5
2195	5
1834	5
1159	1
1091	5
2125	5
325	5
785	1
1824	1
1490	1
473	5
1299	1
768	5
673	1
153	3
974	5
531	5
1524	1
1589	5
972	5
1126	5
298	5
825	5
78	5
802	5
262	5
958	5
1630	3
2169	5
1045	5
2167	1
1492	1
1055	1
1188	5
1274	5
1139	1
1553	1
1778	1
190	1
1044	3
655	1
2188	3
1050	5
477	5
1273	1
1695	1
1282	1
2062	3
1376	6
931	1
2139	6
1907	5
1343	5
2141	3
1832	5
17	1
1544	5
332	1
573	1
326	1
1996	5
1935	5
1708	5
1947	5
1929	7
1948	5
2071	5
1703	5
1405	1
1077	0
467	1
942	1
1744	1
1505	1
247	5
1443	5
2042	1
1051	5
1846	1
2175	1
1898	2
1310	1
1758	5
73	5
2132	7
227	1
386	1
390	5
487	5
675	1
344	5
1586	3
290	5
979	5
600	5
1951	5
1458	5
1771	5
1829	5
879	5
2069	5
430	5
1066	5
1650	0
967	0
482	4
884	0
657	0
1469	5
1533	5
1004	5
1290	1
991	5
2048	0
303	0
157	0
2002	1
98	5
2117	5
426	5
519	5
769	5
1270	5
809	0
817	2
1681	5
641	5
2057	5
312	5
1873	5
1850	5
2155	5
1562	5
74	5
1750	5
1621	5
2150	5
1677	5
2137	5
62	5
1851	5
213	1
872	1
471	5
528	5
2226	5
413	5
1828	3
1617	1
1905	5
1371	1
614	1
1594	5
575	5
593	5
253	5
2081	5
295	1
1567	6
82	5
1520	0
906	0
211	5
714	3
66	5
202	5
1027	5
2054	5
1288	5
1348	5
997	5
1685	5
39	5
870	5
2200	5
876	1
1460	3
348	1
142	1
1191	1
820	5
2225	5
1530	5
1175	5
1696	5
1001	5
598	5
1605	5
1739	5
892	1
1764	5
385	5
2133	5
61	5
1201	5
126	3
856	1
731	5
1753	5
935	5
1118	5
128	5
1306	5
345	5
693	1
1711	1
909	5
2035	5
1555	5
1260	5
759	5
1153	1
1393	1
178	1
1148	5
1235	5
